"item","condition","response","subject","group_G","type","ambiguity_G","verb_G","order","verb","group","prime_target"
"30","E5I30D1",1,"Native 5","Native","Experimental","Ambiguous","Different",9,1,-1,"Unambiguous/Ambiguous"
"26","E1I26D1",1,"Native 5","Native","Experimental","Unambiguous","Same",10,-1,-1,"Unambiguous/Unambiguous"
"27","E2I27D1",0,"Native 5","Native","Experimental","Ambiguous","Same",11,-1,-1,"Unambiguous/Ambiguous"
"25","E6I25D1",1,"Native 5","Native","Experimental","Ambiguous","Different",12,1,-1,"Ambiguous/Ambiguous"
"21","E2I21D1",1,"Native 5","Native","Experimental","Ambiguous","Same",13,-1,-1,"Unambiguous/Ambiguous"
"23","E4I23D1",1,"Native 5","Native","Experimental","Unambiguous","Different",14,1,-1,"Unambiguous/Unambiguous"
"22","E3I22D1",1,"Native 5","Native","Experimental","Ambiguous","Same",15,-1,-1,"Ambiguous/Ambiguous"
"24","E5I24D1",1,"Native 5","Native","Experimental","Ambiguous","Different",16,1,-1,"Unambiguous/Ambiguous"
"19","E6I19D1",1,"Native 5","Native","Experimental","Ambiguous","Different",17,1,-1,"Ambiguous/Ambiguous"
"20","E1I20D1",1,"Native 5","Native","Experimental","Unambiguous","Same",18,-1,-1,"Unambiguous/Unambiguous"
"13","E6I13D1",1,"Native 5","Native","Experimental","Ambiguous","Different",19,1,-1,"Ambiguous/Ambiguous"
"16","E3I16D1",1,"Native 5","Native","Experimental","Ambiguous","Same",20,-1,-1,"Ambiguous/Ambiguous"
"18","E5I18D1",1,"Native 5","Native","Experimental","Ambiguous","Different",21,1,-1,"Unambiguous/Ambiguous"
"15","E2I15D1",1,"Native 5","Native","Experimental","Ambiguous","Same",22,-1,-1,"Unambiguous/Ambiguous"
"14","E1I14D1",1,"Native 5","Native","Experimental","Unambiguous","Same",23,-1,-1,"Unambiguous/Unambiguous"
"17","E4I17D1",1,"Native 5","Native","Experimental","Unambiguous","Different",24,1,-1,"Unambiguous/Unambiguous"
"7","E6I7D1",1,"Native 5","Native","Experimental","Ambiguous","Different",25,1,-1,"Ambiguous/Ambiguous"
"10","E3I10D1",1,"Native 5","Native","Experimental","Ambiguous","Same",26,-1,-1,"Ambiguous/Ambiguous"
"8","E1I8D1",1,"Native 5","Native","Experimental","Unambiguous","Same",27,-1,-1,"Unambiguous/Unambiguous"
"9","E2I9D1",1,"Native 5","Native","Experimental","Ambiguous","Same",28,-1,-1,"Unambiguous/Ambiguous"
"12","E5I12D1",1,"Native 5","Native","Experimental","Ambiguous","Different",29,1,-1,"Unambiguous/Ambiguous"
"11","E4I11D1",1,"Native 5","Native","Experimental","Unambiguous","Different",30,1,-1,"Unambiguous/Unambiguous"
"2","E1I2D1",1,"Native 5","Native","Experimental","Unambiguous","Same",31,-1,-1,"Unambiguous/Unambiguous"
"3","E2I3D1",1,"Native 5","Native","Experimental","Ambiguous","Same",32,-1,-1,"Unambiguous/Ambiguous"
"6","E5I6D1",1,"Native 5","Native","Experimental","Ambiguous","Different",33,1,-1,"Unambiguous/Ambiguous"
"5","E4I5D1",1,"Native 5","Native","Experimental","Unambiguous","Different",34,1,-1,"Unambiguous/Unambiguous"
"4","E3I4D1",1,"Native 5","Native","Experimental","Ambiguous","Same",35,-1,-1,"Ambiguous/Ambiguous"
"1","E6I1D1",1,"Native 5","Native","Experimental","Ambiguous","Different",36,1,-1,"Ambiguous/Ambiguous"
"36","E5I36D1",0,"Native 6","Native","Experimental","Ambiguous","Different",1,1,-1,"Unambiguous/Ambiguous"
"31","E6I31D1",1,"Native 6","Native","Experimental","Ambiguous","Different",2,1,-1,"Ambiguous/Ambiguous"
"32","E1I32D1",1,"Native 6","Native","Experimental","Unambiguous","Same",3,-1,-1,"Unambiguous/Unambiguous"
"34","E3I34D1",1,"Native 6","Native","Experimental","Ambiguous","Same",4,-1,-1,"Ambiguous/Ambiguous"
"33","E2I33D1",1,"Native 6","Native","Experimental","Ambiguous","Same",5,-1,-1,"Unambiguous/Ambiguous"
"35","E4I35D1",1,"Native 6","Native","Experimental","Unambiguous","Different",6,1,-1,"Unambiguous/Unambiguous"
"28","E3I28D1",1,"Native 6","Native","Experimental","Ambiguous","Same",7,-1,-1,"Ambiguous/Ambiguous"
"29","E4I29D1",1,"Native 6","Native","Experimental","Unambiguous","Different",8,1,-1,"Unambiguous/Unambiguous"
"30","E5I30D1",1,"Native 6","Native","Experimental","Ambiguous","Different",9,1,-1,"Unambiguous/Ambiguous"
"26","E1I26D1",1,"Native 6","Native","Experimental","Unambiguous","Same",10,-1,-1,"Unambiguous/Unambiguous"
"27","E2I27D1",1,"Native 6","Native","Experimental","Ambiguous","Same",11,-1,-1,"Unambiguous/Ambiguous"
"25","E6I25D1",0,"Native 6","Native","Experimental","Ambiguous","Different",12,1,-1,"Ambiguous/Ambiguous"
"21","E2I21D1",1,"Native 6","Native","Experimental","Ambiguous","Same",13,-1,-1,"Unambiguous/Ambiguous"
"23","E4I23D1",1,"Native 6","Native","Experimental","Unambiguous","Different",14,1,-1,"Unambiguous/Unambiguous"
"22","E3I22D1",1,"Native 6","Native","Experimental","Ambiguous","Same",15,-1,-1,"Ambiguous/Ambiguous"
"24","E5I24D1",1,"Native 6","Native","Experimental","Ambiguous","Different",16,1,-1,"Unambiguous/Ambiguous"
"19","E6I19D1",1,"Native 6","Native","Experimental","Ambiguous","Different",17,1,-1,"Ambiguous/Ambiguous"
"20","E1I20D1",1,"Native 6","Native","Experimental","Unambiguous","Same",18,-1,-1,"Unambiguous/Unambiguous"
"13","E6I13D1",1,"Native 6","Native","Experimental","Ambiguous","Different",19,1,-1,"Ambiguous/Ambiguous"
"16","E3I16D1",1,"Native 6","Native","Experimental","Ambiguous","Same",20,-1,-1,"Ambiguous/Ambiguous"
"18","E5I18D1",1,"Native 6","Native","Experimental","Ambiguous","Different",21,1,-1,"Unambiguous/Ambiguous"
"15","E2I15D1",1,"Native 6","Native","Experimental","Ambiguous","Same",22,-1,-1,"Unambiguous/Ambiguous"
"14","E1I14D1",1,"Native 6","Native","Experimental","Unambiguous","Same",23,-1,-1,"Unambiguous/Unambiguous"
"17","E4I17D1",1,"Native 6","Native","Experimental","Unambiguous","Different",24,1,-1,"Unambiguous/Unambiguous"
"7","E6I7D1",1,"Native 6","Native","Experimental","Ambiguous","Different",25,1,-1,"Ambiguous/Ambiguous"
"10","E3I10D1",1,"Native 6","Native","Experimental","Ambiguous","Same",26,-1,-1,"Ambiguous/Ambiguous"
"8","E1I8D1",1,"Native 6","Native","Experimental","Unambiguous","Same",27,-1,-1,"Unambiguous/Unambiguous"
"9","E2I9D1",1,"Native 6","Native","Experimental","Ambiguous","Same",28,-1,-1,"Unambiguous/Ambiguous"
"12","E5I12D1",1,"Native 6","Native","Experimental","Ambiguous","Different",29,1,-1,"Unambiguous/Ambiguous"
"11","E4I11D1",1,"Native 6","Native","Experimental","Unambiguous","Different",30,1,-1,"Unambiguous/Unambiguous"
"2","E1I2D1",1,"Native 6","Native","Experimental","Unambiguous","Same",31,-1,-1,"Unambiguous/Unambiguous"
"3","E2I3D1",1,"Native 6","Native","Experimental","Ambiguous","Same",32,-1,-1,"Unambiguous/Ambiguous"
"6","E5I6D1",0,"Native 6","Native","Experimental","Ambiguous","Different",33,1,-1,"Unambiguous/Ambiguous"
"5","E4I5D1",1,"Native 6","Native","Experimental","Unambiguous","Different",34,1,-1,"Unambiguous/Unambiguous"
"4","E3I4D1",1,"Native 6","Native","Experimental","Ambiguous","Same",35,-1,-1,"Ambiguous/Ambiguous"
"1","E6I1D1",0,"Native 6","Native","Experimental","Ambiguous","Different",36,1,-1,"Ambiguous/Ambiguous"
"20","E2I20D1",1,"Native 7","Native","Experimental","Ambiguous","Same",1,-1,-1,"Unambiguous/Ambiguous"
"19","E1I19D1",1,"Native 7","Native","Experimental","Unambiguous","Same",2,-1,-1,"Unambiguous/Unambiguous"
"24","E6I24D1",1,"Native 7","Native","Experimental","Ambiguous","Different",3,1,-1,"Ambiguous/Ambiguous"
"22","E4I22D1",1,"Native 7","Native","Experimental","Unambiguous","Different",4,1,-1,"Unambiguous/Unambiguous"
"23","E5I23D1",1,"Native 7","Native","Experimental","Ambiguous","Different",5,1,-1,"Unambiguous/Ambiguous"
"21","E3I21D1",1,"Native 7","Native","Experimental","Ambiguous","Same",6,-1,-1,"Ambiguous/Ambiguous"
